name,allergens,ratings
Boiled Eggs,"['Eggs', 'Vegetarian']",[]
Bacon,['Pork'],[]
Turkey Sausage Patty,[],[]
Triangle Hash Browns,"['Soy', 'Vegan']",[]
Gardein Vegan Sausage Patty,"['Soy', 'Vegan', 'Wheat / Gluten']",[]
Made to Order Cage Free Omelettes (Customize for veggie option),"['Dairy', 'Eggs', 'Pork', 'Soy', 'Vegan', 'Vegetarian']",[]
Boiled Eggs,"['Eggs', 'Vegetarian']",[]
Buttermilk Pancakes,"['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Roasted Breakfast Potatoes,['Vegan'],[]
Scrambled Eggs,"['Eggs', 'Vegetarian']",[]
Bacon,['Pork'],[]
"Garlic, Lemon and Herb Roasted Pork",['Pork'],[]
Pasta with Marinara Sauce,"['Vegan', 'Wheat / Gluten']",[]
Sauteed Cabbage,['Vegan'],[]
Ham and Cheese Thick Crust Pizza,"['Dairy', 'Pork', 'Wheat / Gluten']",[]
Cheesy Garlic Thick Crust Pizza,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Yogurt Parfait Bar (Dairy Free Yogurt available upon request),"['Dairy', 'Soy', 'Vegan', 'Vegetarian']",[]
Assorted Fruits,['Vegan'],[]
Waffle Bar,"['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Assorted Breads and Bagels,['Food Not Analyzed for Allergens'],[]
Peanut Butter,"['Peanuts', 'Soy', 'Vegetarian']",[]
Bob's Red Mill Thick Cut Oatmeal,"['Vegan', 'Wheat / Gluten']",[]
Red Wine Vinaigrette,"['Soy', 'Vegan']",[]
Balsamic Vinaigrette,['Vegan'],[]
Blue Cheese Dressing,"['Dairy', 'Eggs', 'Soy', 'Vegetarian']",[]
Ranch Dressing,"['Dairy', 'Eggs', 'Soy', 'Vegetarian']",[]
Vegan Caesar Dressing,"['Soy', 'Vegan']",[]
Asian Style Dressing,"['Sesame', 'Soy', 'Vegetarian']",[]
Turkey Chili,"['Dairy', 'Wheat / Gluten']",[]
Vegetable Soup,['Vegan'],[]
BBQ Spiced Pork Loin,['Pork'],[]
Rockfish with Red Pepper Coulis,['Fish'],[]
Sweet Potato Mash,"['Dairy', 'Vegetarian']",[]
Brown Rice Pilaf,['Vegan'],[]
Sauteed Peas and Carrots,['Vegan'],[]
Steamed Green Beans,['Vegan'],[]
Corn on the Cob with Butter,"['Dairy', 'Vegetarian']",[]
Village Chicken Tamari Teriyaki,"['Sesame', 'Soy']",[]
Village Kalua Pork,"['Pork', 'Soy']",[]
Steamed White Rice,['Vegan'],[]
Expo Macaroni Salad,"['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Expo Brown Gravy,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Shredded Carrots,['Vegan'],[]
Sliced Green Onions,['Vegan'],[]
Sesame Seeds,"['Sesame', 'Vegan']",[]
Kimchi,"['Fish', 'Shellfish']",[]
Sliced Turkey,[],[]
Spiral Sliced Ham,['Pork'],[]
Tuna Salad,"['Eggs', 'Fish', 'Soy']",[]
Mustard Dijon,['Vegan'],[]
Mayonnaise,"['Eggs', 'Soy', 'Vegetarian']",[]
Peanut Butter,"['Peanuts', 'Soy', 'Vegetarian']",[]
Strawberry Preserves,['Vegetarian'],[]
Dill Pickles,['Vegan'],[]
Assorted Sliced Cheese,"['Dairy', 'Vegetarian']",[]
Sliced Onion,['Vegan'],[]
Sliced Tomatoes,['Vegan'],[]
Lettuce,['Vegan'],[]
Sliced French Bread,"['Vegan', 'Wheat / Gluten']",[]
