name,dh,allergens,ratings
Chopped Ham,Parkside,['Pork'],[]
Tofu,Parkside,"['Soy', 'Vegan']",[]
Chopped Bell Peppers,Parkside,['Vegan'],[]
Chopped Onion,Parkside,['Vegan'],[]
Chopped Tomatoes,Parkside,['Vegan'],[]
Spinach Leaves,Parkside,['Vegan'],[]
Sliced Jalapenos,Parkside,['Vegan'],[]
Sliced Mushrooms,Parkside,['Vegan'],[]
Shredded Cheese,Parkside,"['Dairy', 'Vegetarian']",[]
AAZ Pot Roast with Carrots and Potatoes,Parkside,[],[]
Sauteed Green Cabbage,Parkside,['Vegan'],[]
Steamed Quinoa,Parkside,['Vegan'],[]
Scrambled Eggs,Parkside,"['Eggs', 'Vegetarian']",[]
Boiled Eggs,Parkside,"['Eggs', 'Vegetarian']",[]
Turkey Sausage Patty,Parkside,[],[]
Triangle Hash Browns,Parkside,"['Soy', 'Vegan']",[]
Gardein Vegan Sausage Patty,Parkside,"['Soy', 'Vegan', 'Wheat / Gluten']",[]
Made to Order Cage Free Omelettes (Customize for veggie option),EVK,"['Dairy', 'Eggs', 'Pork', 'Soy', 'Vegan', 'Vegetarian']",[]
Boiled Eggs,EVK,"['Eggs', 'Vegetarian']",[]
Buttermilk Pancakes,EVK,"['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Roasted Breakfast Potatoes,EVK,['Vegan'],[]
Scrambled Eggs,EVK,"['Eggs', 'Vegetarian']",[]
Bacon,EVK,['Pork'],[]
"Garlic, Lemon and Herb Roasted Pork",EVK,['Pork'],[]
Pasta with Marinara Sauce,EVK,"['Vegan', 'Wheat / Gluten']",[]
Sauteed Cabbage,EVK,['Vegan'],[]
Ham and Cheese Thick Crust Pizza,EVK,"['Dairy', 'Pork', 'Wheat / Gluten']",[]
Cheesy Garlic Thick Crust Pizza,EVK,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Yogurt Parfait Bar (Dairy Free Yogurt available upon request),EVK,"['Dairy', 'Soy', 'Vegan', 'Vegetarian']",[]
Assorted Fruits,EVK,['Vegan'],[]
Waffle Bar,EVK,"['Dairy', 'Eggs', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Assorted Breads and Bagels,EVK,['Food Not Analyzed for Allergens'],[]
Peanut Butter,EVK,"['Peanuts', 'Soy', 'Vegetarian']",[]
Bob's Red Mill Thick Cut Oatmeal,EVK,"['Vegan', 'Wheat / Gluten']",[]
Turkey Chili,Village,"['Dairy', 'Wheat / Gluten']",[]
Vegetable Soup,Village,['Vegan'],[]
BBQ Spiced Pork Loin,Village,['Pork'],[]
Rockfish with Red Pepper Coulis,Village,['Fish'],[]
Sweet Potato Mash,Village,"['Dairy', 'Vegetarian']",[]
Brown Rice Pilaf,Village,['Vegan'],[]
Sauteed Peas and Carrots,Village,['Vegan'],[]
Steamed Green Beans,Village,['Vegan'],[]
Corn on the Cob with Butter,Village,"['Dairy', 'Vegetarian']",[]
Strawberry Ice Cream,Village,"['Dairy', 'Vegetarian']",[]
Chocolate Ice Cream,Village,"['Dairy', 'Vegetarian']",[]
Vanilla Bean Ice Cream,Village,"['Dairy', 'Vegetarian']",[]
Whipped Cream,Village,"['Dairy', 'Vegetarian']",[]
Strawberry Sauce,Village,['Vegetarian'],[]
Raspberry Sauce,Village,['Vegetarian'],[]
Chocolate Sauce,Village,['Food Not Analyzed for Allergens'],[]
Crumbled Oreo Cookies,Village,"['Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Maraschino Cherries,Village,['Vegetarian'],[]
Chopped Peanuts,Village,"['Peanuts', 'Vegan']",[]
Sliced Almonds,Village,"['Tree Nuts', 'Vegan']",[]
Chocolate Chips,Village,"['Dairy', 'Soy', 'Vegetarian']",[]
Roasted Chicken,Parkside,[],[]
Baked Sweet Potatoes,Parkside,['Vegan'],[]
Sauteed Mushrooms,Parkside,['Vegan'],[]
Beef Gyro Pita Sandwich,Parkside,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Grilled  Zucchini Caprese Wrap,Parkside,"['Dairy', 'Soy', 'Vegetarian', 'Wheat / Gluten']",[]
Waffle Fries,Parkside,"['Soy', 'Vegan']",[]
Pho Bowl Bar (Customize for Veggie Options),Parkside,['Food Not Analyzed for Allergens'],[]
Garbanzo Beans,Parkside,['Vegan'],[]
Steamed Brown Rice,Parkside,['Vegan'],[]
Roasted Turnips and Rutabega,Parkside,['Vegan'],[]
Mediterranean Roasted Beef with Herb and Wine Reduction,Parkside,['Dairy'],[]
Chicken with Creamy Tarragon Sauce,Parkside,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Sauteed Cabbage,Parkside,['Vegan'],[]
Indian Curried Tofu with Coconut and Vegetables,Parkside,"['Soy', 'Vegan']",[]
Tomato Orange Basil Bisque,Parkside,"['Dairy', 'Vegetarian', 'Wheat / Gluten']",[]
Salad and Deli Bar (Customize for veggie options),EVK,['Food Not Analyzed for Allergens'],[]
Vegetable Rice Soup,EVK,['Vegan'],[]
Steak Bar (Veggie Portobello mushroom option available),EVK,['Food Not Analyzed for Allergens'],[]
Steamed Brown Rice,EVK,['Vegan'],[]
Sauteed Kale,EVK,['Vegan'],[]
Garlic Mashed Potatoes,EVK,"['Dairy', 'Vegetarian']",[]
Roasted Zucchini,EVK,['Vegan'],[]
Gardein Veggie Ground Shepherds Pie,EVK,"['Dairy', 'Soy', 'Vegetarian']",[]
Beef Pot Roast with Vegetables,EVK,"['Dairy', 'Soy', 'Wheat / Gluten']",[]
Rotisserie Style Chicken,EVK,[],[]
